72,King,MUHAHAHAHAAHAH
73,King,WHO DARES STAND BEFORE THE MIGHTY BROCCOLI KING???
74,Teddy,Me! I am here to reclaim what is mine.
75,King,HAHAAHAHAHAHAAHAHAHA
76,King,WHAT’S A MERE TEDDY BEAR GOING TO DO? HUG ME TILL I CAN’T BREATHE ANYMORE?
77,King,HAHAHAHAHAHHAAH
78,King,YOU IGNORANT BEAR!
79,Teddy,"Ignorant I may be, scared am I not."
80,King,"TRY ALL YOU WANT, IT’S FUTILE! HAHAHAHAH"
81,Teddy,Let’s see if veggies really do bleed green!
82,Teddy,"I did it… Timmy, I did it…"
83,Teddy,"Hopefully this will manage to help Timmy, and save our friendship."
84,Teddy,"There’s nothing more important in my life, he’s all I have…"
85,Teddy,Ah…
86,Teddy,I’m tired…
87,Teddy,Really… tired
88,Teddy,I have to get back to the bed… before he comes back from school…
89,Teddy,Muster up the last of my remaining strength…
90,Teddy,Ah…
91,Teddy,Where’s Timmy when I need him…
92,Teddy,A hug could do me really well right now…
93,Mother,Awwwwww… is our big boy enjoying his broccoli?
94,Timmy,"Thanks, Mother! It’s delicious!"
95,Timmy,"It really ended up growing on me, not to mention it’s really healthy too!"
96,Father,That’s my boy!
97,Timmy,(quickly finishes his remaining food)
98,Timmy,(Mother notices Timmy is in a hurry)
99,Mother,"Oh? And where are you heading, young man?"
100,Timmy,"Hehe, me and Teddy are busy rebuilding our LEGO castle together! He’s waiting for me to finish eating."
101,Mother,"(smiles) Go on now, don’t make ol’ Teddy wait! I’m sure he’s excited to be able to play with you again!"
102,Timmy,That makes two of us. (soft smile)
103,Narration,(Timmy runs off to his room)
104,Father,He actually managed to finish all of his veggies…
105,Father,MY SMALL BOY IS BECOMING A MAN! (starts crying)
106,Mother,Awww honey….
107,Mother,No need to cry.. (hugs Father)
108,Mother,(softly) From one small boy to another
109,Father,Hm?
110,Mother,"I love you, honey"
111,Father,"(sniffs) I love you too, darling."
